No,Title,Suggested Duration,Address,Ratings,Transport
0,National Gallery,Suggested Duration:2-3 hours,"Trafalgar Square, London WC2N 5DN England",4.5,"['Charing Cross', 'Leicester Square', 'Rental Cars']"
1,Churchill War Rooms,Suggested Duration:1-2 hours,"King Charles Street, Clive Steps Westminster, London SW1A 2AQ England",4.5,"['Charing Cross', 'Embankment', 'Rental Cars']"
2,The British Museum,Suggested Duration:2-3 hours,"Great Russell Street, London WC1B 3DG England",4.5,"['Tottenham Court Road', 'Russell Square', 'Rental Cars']"
3,V&A - Victoria and Albert Museum,Suggested Duration:2-3 hours,"Cromwell Road, London SW7 2RL England",4.5,"['Gloucester Road', 'Knightsbridge', 'Rental Cars']"
4,Natural History Museum,Suggested Duration:More than 3 hours,"Cromwell Road South Kensington, London SW7 5BD England",4.5,"['Gloucester Road', 'Knightsbridge', 'Rental Cars']"
5,Wallace Collection,Suggested Duration:Not Available,"Hertford House Manchester Square Manchester Square, London W1U 3BN England",4.5,"['Bond St', 'Marble Arch', 'Rental Cars']"
6,Emirates Stadium Tour and Museum,Suggested Duration:1-2 hours,"75 Drayton Park Emirates Stadium, London N5 1BU England",4.5,"['Arsenal', 'Holloway Road', 'Rental Cars']"
7,The Charterhouse,Suggested Duration:1-2 hours,"The Charterhouse Charterhouse Square, London EC1M 6AN England",5,"['Barbican', 'Farringdon', 'Rental Cars']"
8,Wimbledon Lawn Tennis Museum,Suggested Duration:Not Available,"Church Road, Wimbledon All England Lawn Tennis and Croquet Club, London SW19 5AG England",Ratings Not Available,"['Putney Bridge', 'Morden', 'Rental Cars']"
9,The Courtauld Gallery,Suggested Duration:1-2 hours,"Somerset House Strand Somerset House, London WC2R 0RN England",4.5,"['Temple', 'Covent Garden', 'Rental Cars']"
10,Museum of London Docklands,Suggested Duration:2-3 hours,"1 The Warehouse Hertsmere Road, London E14 4AL England",4.5,"['West India Quay', 'Westferry', 'Rental Cars']"
