,Title,Suggested Duration,Address,Ratings,Transport
0,The Lion King,Suggested Duration Not Available,"21 Wellington Street Lyceum Theatre, London WC2E 7RQ England",4.5,"['Covent Garden', 'Temple', 'Rental Cars']"
1,Witness for the Prosecution,Suggested Duration Not Available,"Belvedere Road County Hall Chamber, London SE1 7PB England",Ratings Not Available,"['Waterloo', 'Embankment', 'Rental Cars']"
2,Angel Comedy at The Camden Head,Suggested Duration:2-3 hours,"2 Camden Walk, London N1 8DY England",5,"['Highbury & Islington', 'Highbury & Islington', 'Rental Cars']"
3,Brick Lane Music Hall,Suggested Duration Not Available,"443 North Woolwich Road, London E16 2DA England",5,"['London City Airport', 'Royal Albert', 'Rental Cars']"
4,Angel Comedy at The Bill Murray,Suggested Duration:2-3 hours,"39 Queens Head Street, London N1 8NQ England",5,"['Highbury & Islington', 'Highbury & Islington', 'Rental Cars']"
5,Ceremony of the Keys,Suggested Duration Not Available,"35 Tower Hill, London EC3N 4DR England",Ratings Not Available,"['Tower Gateway', 'Tower Hill', 'Rental Cars']"
6,Kinky Boots at Adelphi Theatre,Suggested Duration:2-3 hours,"411-412 Strand, London WC2R 0NS England",5,"['Embankment', 'Covent Garden', 'Rental Cars']"
7,Memphis the Musical,Suggested Duration Not Available,"210 Shaftesbury Avenue, London WC2H 8DP England",Ratings Not Available,"['Tottenham Court Road', 'Covent Garden', 'Rental Cars']"
8,Les Miserables London,Suggested Duration Not Available,"51 Shaftesbury Avenue, London W1D 6BA England",5,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
9,Beautiful the Carole King Musical,Suggested Duration Not Available,"49 Aldwych, London WC2B 4DF England",Ratings Not Available,"['Temple', 'Covent Garden', 'Rental Cars']"
10,Trooping the Colour,Suggested Duration Not Available,"1 Horse Guards Road, London SW1A 2HQ England",Ratings Not Available,"['Charing Cross', 'Embankment', 'Rental Cars']"
11,Comedy Carnival Leicester Square,Suggested Duration Not Available,"36 Shaftesbury Avenue, London W1D 7EP England",4.5,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
12,School Of Rock The Musical,Suggested Duration Not Available,"166 Drury Lane New London Theatre, London WC2B 5PF England",Ratings Not Available,"['Covent Garden', 'Holborn', 'Rental Cars']"
13,Mamma Mia! The Party,Suggested Duration:More than 3 hours,"The O2, London SE10 0DX England",4.5,"['North Greenwich', 'East India', 'Rental Cars']"
14,Come From Away,Suggested Duration Not Available,"110 Charing Cross Road Phoenix Theatre, London WC2H 0JP England",Ratings Not Available,"['Tottenham Court Road', 'Leicester Square', 'Rental Cars']"
15,Faulty Towers the Dining Experience,Suggested Duration:2-3 hours,"Radisson Blu Edwardian 9-13 Bloomsbury Street The Torquay Suite Theatre, London WC1B 3QD England",4.5,"['Tottenham Court Road', 'Holborn', 'Rental Cars']"
16,Comedy Carnival Covent Garden,Suggested Duration Not Available,"42 Earlham Street, London WC2H 9LA England",5,"['Covent Garden', 'Leicester Square', 'Rental Cars']"
17,Mamma Mia,Suggested Duration Not Available,"5 Aldwych Aldwych, London WC2B 4LD England",Ratings Not Available,"['Covent Garden', 'Temple', 'Rental Cars']"
18,42nd Street,Suggested Duration Not Available,"Catherine Street Theatre Royal Drury Lane, London WC2B 5JF England",Ratings Not Available,"['Covent Garden', 'Temple', 'Rental Cars']"
19,The Curious Incident Of The Dog In The Night‑Time,Suggested Duration Not Available,"Shaftesbury Avenue The Gielgud Theatre, London England",Ratings Not Available,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
20,Stomp,Suggested Duration Not Available,"The Ambassadors Theatre 19-22 Tower Street, London WC2H 9ND England",Ratings Not Available,"['Leicester Square', 'Covent Garden', 'Rental Cars']"
21,Prince of Wales Theatre,Suggested Duration Not Available,"31 Coventry Street Westminster, London W1D 6AS England",4.5,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
22,Royal Albert Hall,Suggested Duration:More than 3 hours,"Royal Albert Hall Kensington Gore, London SW7 2AP England",4.5,"['Gloucester Road', 'High St Kensington', 'Rental Cars']"
23,The Magic Hour,Suggested Duration:1-2 hours,"1-9 Inverness Terrace The Grand Royale, Hyde Park, London W2 3JP England",4.5,"['Queensway', 'Bayswater', 'Rental Cars']"
24,Sunny Afternoon: The Kinks Musical,Suggested Duration Not Available,"6 Panton Street Harold Pinter Theatre, London SW1Y 4DN England",4.5,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
25,Jersey Boys London,Suggested Duration Not Available,"16 Denman Street, London W1D 7DY England",4.5,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
26,Tina The Musical,Suggested Duration Not Available,"49 Aldwych Aldwych Theatre, London WC2B 4DF England",Ratings Not Available,"['Temple', 'Covent Garden', 'Rental Cars']"
27,Phantom of The Opera London,Suggested Duration Not Available,"57 Haymarket Her Majesty's Theatre, London SW1Y 4QL England",4.5,"['Piccadilly Circus', 'Charing Cross', 'Rental Cars']"
28,The Magic Circle,Suggested Duration Not Available,"12 Stephenson Way, London NW1 2HD England",4.5,"['Euston Square', 'London Euston', 'Rental Cars']"
29,New London Theatre,Suggested Duration Not Available,"166 Drury Lane, London WC2B 5PF England",4.5,"['Covent Garden', 'Holborn', 'Rental Cars']"
30,Sadler's Wells,Suggested Duration Not Available,"Rosebery Avenue, London EC1R 4TN England",4.5,"['Farringdon', 'Barbican', 'Rental Cars']"
31,Novello Theatre,Suggested Duration Not Available,"5 Aldwych Holborn, London WC2B 4LD England",Ratings Not Available,"['Covent Garden', 'Temple', 'Rental Cars']"
32,Billy Elliot The Musical,Suggested Duration:2-3 hours,"Victoria Street Victoria Palace Theatre, London SW1E 5EA England",4.5,"['Hyde Park Corner', 'Green Park', 'Rental Cars']"
33,Comedy Store London Piccadilly Circus,Suggested Duration Not Available,"Haymarket House 1A Oxendon Street, London SW1Y 4EE England",Ratings Not Available,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
34,Royal Opera House,Suggested Duration:2-3 hours,"Bow Street, London WC2E 9DD England",4.5,"['Covent Garden', 'Leicester Square', 'Rental Cars']"
35,The Boat Show Comedy Club,Suggested Duration:More than 3 hours,"Tattershall Castle Victoria Embankment, London SW1A 2HR England",4.5,"['Embankment', 'Charing Cross', 'Rental Cars']"
36,The Top Secret Comedy Club,Suggested Duration Not Available,"170 Drury Lane Covent Garden, London WC2B 5PD England",4.5,"['Covent Garden', 'Holborn', 'Rental Cars']"
37,Gielgud Theatre,Suggested Duration Not Available,"35 Shaftesbury Avenue, London W1D 6AR England",Ratings Not Available,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
38,Theatre Royal Drury Lane,Suggested Duration:< 1 hour,"Catherine Street Covent Garden, London WC2B 5JF England",4.5,"['Covent Garden', 'Temple', 'Rental Cars']"
39,Wigmore Hall,Suggested Duration:2-3 hours,"36 Wigmore Street, London W1U 2BP England",4.5,"['Bond St', 'Oxford Circus', 'Rental Cars']"
40,Wilton's Music Hall,Suggested Duration:1-2 hours,"1 Graces Alley, London E1 8JB England",4.5,"['Cyprus', 'Gallions Reach', 'Rental Cars']"
41,Apollo Theatre,Suggested Duration Not Available,"29 Shaftesbury Avenue, London W1D 7ES England",Ratings Not Available,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
42,Old Operating Theatre,Suggested Duration:1-2 hours,"St. Thomas's Church 9A St. Thomas Street, London SE1 9RY England",4.5,"['London Bridge', 'Monument', 'Rental Cars']"
43,Prince Edward Theatre,Suggested Duration Not Available,"28 Old Compton Street, London W1D 4HS England",Ratings Not Available,"['Leicester Square', 'Tottenham Court Road', 'Rental Cars']"
44,St Martin-in-the-Fields,Suggested Duration:1-2 hours,"Trafalgar Square, London WC2N 4JJ England",4.5,"['Charing Cross', 'Leicester Square', 'Rental Cars']"
45,Sondheim Theatre,Suggested Duration Not Available,"51 Shaftesbury Avenue Soho, London W1D 6BA England",4.5,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
46,Regent's Park Open Air Theatre,Suggested Duration:2-3 hours,"Open Air Theatre Inner Circle Regents Park Regent's Park, London NW1 4NU England",4.5,"['Baker St', ""Regent's Park"", 'Rental Cars']"
47,South Bank,Suggested Duration:More than 3 hours,"Lambeth Bridge to Blackfriars Bridge south to St George's Circus, London SE1 England",4.5,"['Waterloo', 'Embankment', 'Rental Cars']"
48,Bridge Theatre,Suggested Duration:2-3 hours,"3 Potters Field Park Potters Field, London SE1 2SG England",4.5,"['London Bridge', 'Tower Hill', 'Rental Cars']"
49,Shakespeare's Globe Theatre,Suggested Duration Not Available,"21 New Globe Walk, London SE1 9DT England",4.5,"['Mansion House', 'Cannon St', 'Rental Cars']"
50,The 39 Steps,Suggested Duration Not Available,"805 Commercial Road 2 Jermyn Street, London E14 7HG England",Ratings Not Available,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
51,Miss Saigon,Suggested Duration Not Available,"28 Old Compton Street Prince Edward Theatre, London W1D 4HS England",Ratings Not Available,"['Leicester Square', 'Tottenham Court Road', 'Rental Cars']"
52,Only Fools and Horses The Musical,Suggested Duration Not Available,"Theatre Royal, Haymarket, London SW1Y 4HT England",Ratings Not Available,"['Piccadilly Circus', 'Charing Cross', 'Rental Cars']"
53,Menier Chocolate Factory,Suggested Duration Not Available,"Menier Chocolate Factory 51 Southwark Street, London SE1 1RU England",Ratings Not Available,"['London Bridge', 'Southwark', 'Rental Cars']"
54,Matilda the Musical,Suggested Duration Not Available,"Earlham Street Earlham Street, Covent Garden, London WC2H 9HU England",Ratings Not Available,"['Covent Garden', 'Leicester Square', 'Rental Cars']"
55,Noel Coward Theatre,Suggested Duration Not Available,"85-88 St. Martin's Lane, London WC2N 4AU England",Ratings Not Available,"['Leicester Square', 'Covent Garden', 'Rental Cars']"
56,The Old Vic,Suggested Duration Not Available,"The Cut, SE1, London England",4.5,"['Waterloo', 'Southwark', 'Rental Cars']"
57,The Book of Mormon London,Suggested Duration Not Available,"31 Coventry Street Westminster, London W1D 6AS England",Ratings Not Available,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
58,Duchess Theatre,Suggested Duration Not Available,"Catherine Street, London WC2B 5LA England",Ratings Not Available,"['Covent Garden', 'Temple', 'Rental Cars']"
59,Charlie And The Chocolate Factory,Suggested Duration Not Available,"Drury Lane Catherine Street, London WC2B 5JF England",Ratings Not Available,"['Covent Garden', 'Temple', 'Rental Cars']"
60,Her Majesty's Theatre London,Suggested Duration Not Available,"57 Haymarket, London SW1Y 4QL England",4.5,"['Piccadilly Circus', 'Charing Cross', 'Rental Cars']"
61,Bend it Like Beckham,Suggested Duration Not Available,"Charing Cross Road London Phoenix Theatre, London England",Ratings Not Available,"['Tottenham Court Road', 'Leicester Square', 'Rental Cars']"
62,National Theatre,Suggested Duration:1-2 hours,"South Bank, Waterloo, London SE1 9PX England",4.5,"['Temple', 'Waterloo', 'Rental Cars']"
63,The Sam Wanamaker Playhouse,Suggested Duration Not Available,"9dt Shakespeare's Globe 21 New Globe Walk, London SE1 9DT England",Ratings Not Available,"['Mansion House', 'Cannon St', 'Rental Cars']"
64,St. Martins Theatre,Suggested Duration Not Available,"West Street, London WC2H 9NZ England",Ratings Not Available,"['Leicester Square', 'Covent Garden', 'Rental Cars']"
65,Ronnie Scott's Jazz Club,Suggested Duration Not Available,"47 Frith Street, London W1D 4HT England",4.5,"['Leicester Square', 'Tottenham Court Road', 'Rental Cars']"
66,Cadogan Hall,Suggested Duration Not Available,"5 Sloane Terrace, London SW1X 9DQ England",4.5,"['Knightsbridge', 'Hyde Park Corner', 'Rental Cars']"
67,Lyceum Theatre,Suggested Duration Not Available,"21 Wellington Street, London WC2E 7RQ England",Ratings Not Available,"['Covent Garden', 'Temple', 'Rental Cars']"
68,The Bodyguard at the Dominion Theatre London,Suggested Duration Not Available,"268-269 Tottenham Court Road Dominion THeatre, London England",Ratings Not Available,"['Tottenham Court Road', 'Goodge St', 'Rental Cars']"
69,Wyndhams Theatre,Suggested Duration Not Available,"32 Charing Cross Road, London WC2H 0DA England",Ratings Not Available,"['Leicester Square', 'Covent Garden', 'Rental Cars']"
70,Roundhouse,Suggested Duration:2-3 hours,"Chalk Farm Road, London NW1 8EH England",4.5,"['Chalk Farm', 'Kentish Town West', 'Rental Cars']"
71,Garrick Theatre,Suggested Duration:1-2 hours,"2 Charing Cross Road, London WC2H 0HH England",4.5,"['Leicester Square', 'Charing Cross', 'Rental Cars']"
72,Wicked,Suggested Duration Not Available,"17 Wilton Road Apollo Victoria Theatre, London SW1V 1LG England",4.5,"['Hyde Park Corner', 'Green Park', 'Rental Cars']"
73,Piccadilly Theatre,Suggested Duration Not Available,"16 Denman Street, London W1D 7DY England",Ratings Not Available,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
74,Criterion Theatre,Suggested Duration Not Available,"Criterion Theatre Piccadilly, London W1J 9HT England",Ratings Not Available,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
75,London Palladium,Suggested Duration:2-3 hours,"8 Argyll Street, London W1F 7TF England",4,"['Oxford Circus', 'Bond St', 'Rental Cars']"
76,Aladdin - The West End Musical,Suggested Duration:2-3 hours,"28 Old Compton Street Prince Edward Theatre, London W1D 4HS England",4.5,"['Leicester Square', 'Tottenham Court Road', 'Rental Cars']"
77,London Coliseum,Suggested Duration Not Available,"St Martin's Lane, London WC2N 4ES England",Ratings Not Available,"['Leicester Square', 'Charing Cross', 'Rental Cars']"
78,Only Fools The (Cushty) Dining Experience,Suggested Duration Not Available,"130 Tottenham Court Road Radisson Blu Edwardian, London N1 4DY England",Ratings Not Available,"['Dalston Kingsland', 'Dalston Junction', 'Rental Cars']"
79,Victoria Palace Theatre,Suggested Duration Not Available,"126 Victoria Street Westminster, London SW1E 5LA England",Ratings Not Available,"['Hyde Park Corner', 'Green Park', 'Rental Cars']"
80,Savoy Theatre,Suggested Duration Not Available,"Savoy Court Strand Strand, London WC2R 0ET England",4.5,"['Embankment', 'Covent Garden', 'Rental Cars']"
81,"County Hall, London",Suggested Duration Not Available,"Belvedere Road, London SE1 7PB England",4.5,"['Waterloo', 'Embankment', 'Rental Cars']"
82,Apollo Victoria Theatre,Suggested Duration Not Available,"17 Wilton Road, London SW1V 1LG England",Ratings Not Available,"['Hyde Park Corner', 'Green Park', 'Rental Cars']"
83,Adelphi Theatre,Suggested Duration Not Available,"409-412 Strand, London WC2R 0NR England",Ratings Not Available,"['Covent Garden', 'Embankment', 'Rental Cars']"
84,Harry Potter and the Cursed Child,Suggested Duration Not Available,"109-113 Shaftesbury Avenue Palace Theatre, London W1D 5AY England",4.5,"['Leicester Square', 'Tottenham Court Road', 'Rental Cars']"
85,Leicester Square Theatre,Suggested Duration:1-2 hours,"6 Leicester Place, London WC2H 7BX England",4.5,"['Leicester Square', 'Piccadilly Circus', 'Rental Cars']"
86,The Plays That Goes Wrong,Suggested Duration Not Available,"Catherine Street Duchess Theatre, London WC2B 5LA England",Ratings Not Available,"['Covent Garden', 'Temple', 'Rental Cars']"
87,Soho Theatre,Suggested Duration:1-2 hours,"21 Dean Street Soho, London W1D 3NE England",4.5,"['Tottenham Court Road', 'Leicester Square', 'Rental Cars']"
88,Leicester Square,Suggested Duration:2-3 hours,"Leicester Square, London England",4,"['Leicester Square', 'Piccadilly Circus', 'Rental Cars']"
89,Duke of York's Theatre,Suggested Duration Not Available,"104 St. Martin's Lane, London WC2N 4BG England",Ratings Not Available,"['Leicester Square', 'Charing Cross', 'Rental Cars']"
90,Dominion Theatre,Suggested Duration Not Available,"268-269 Tottenham Court Road, London W1T 7AQ England",4,"['Tottenham Court Road', 'Goodge St', 'Rental Cars']"
91,Haymarket Theatre Royal,Suggested Duration Not Available,"34 Haymarket, London SW1Y 4HA England",4,"['Piccadilly Circus', 'Charing Cross', 'Rental Cars']"
92,The Crazy Coqs,Suggested Duration Not Available,"20 Sherwood Street, London W1F 7ED England",4.5,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
93,Cambridge Theatre,Suggested Duration Not Available,"32-34 Earlham Street Seven Dials, London WC2H 9HU England",4,"['Covent Garden', 'Leicester Square', 'Rental Cars']"
94,Hamilton,Suggested Duration Not Available,"Victoria Street Victoria Palace Theatre, London SW1E 5EA England",Ratings Not Available,"['Hyde Park Corner', 'Green Park', 'Rental Cars']"
95,Medieval Banquet,Suggested Duration Not Available,"Ivory House, St Katharines Dock, London E1W 1BP England",Ratings Not Available,"['Gallions Reach', 'Tower Gateway', 'Rental Cars']"
96,Let it Be Rock-n-Roll Band,Suggested Duration Not Available,"The Strand Savoy Theatre, London WC2R 0ET England",Ratings Not Available,"['Leicester Square', 'Charing Cross', 'Rental Cars']"
97,Barbican Centre,Suggested Duration Not Available,"Silk Street Barbican Centre, London EC2Y 8DS England",4,"['Barbican', 'Moorgate', 'Rental Cars']"
98,Peacock Theatre,Suggested Duration:1-2 hours,"Portugal Street, London WC2A 2HT England",4.5,"['Holborn', 'Temple', 'Rental Cars']"
99,King's Cross Theatre,Suggested Duration Not Available,"Goods Way, London N1C 4UR England",Ratings Not Available,"[""King's Cross St. Pancras"", 'Euston', 'Rental Cars']"
100,Palace Theatre,Suggested Duration Not Available,"113 Shaftesbury Avenue, London W1D 5AY England",Ratings Not Available,"['Leicester Square', 'Tottenham Court Road', 'Rental Cars']"
101,Shaftesbury Theatre,Suggested Duration:More than 3 hours,"210 Shaftesbury Avenue, London WC2H 8DP England",4,"['Tottenham Court Road', 'Covent Garden', 'Rental Cars']"
102,The Commitments,Suggested Duration Not Available,"Palace Theatre, Shaftesbury Avenue Shaftesbury Avenue, London W1D 5AY England",Ratings Not Available,"['Leicester Square', 'Tottenham Court Road', 'Rental Cars']"
103,Aldwych Theatre,Suggested Duration:2-3 hours,"49 Aldwych, London WC2B 4DF England",4.5,"['Temple', 'Covent Garden', 'Rental Cars']"
104,Harold Pinter Theatre,Suggested Duration Not Available,"6 Panton Street, London England",4.5,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
105,Shaftsbury Theatre,Suggested Duration Not Available,"210 Shaftesbury Avenue, London WC2H 8DP England",Ratings Not Available,"['Tottenham Court Road', 'Covent Garden', 'Rental Cars']"
106,Motown the Musical,Suggested Duration Not Available,"210 Shaftesbury Avenue Shaftesbury Theatre, London WC2H 8DP England",Ratings Not Available,"['Tottenham Court Road', 'Covent Garden', 'Rental Cars']"
107,The Mousetrap,Suggested Duration Not Available,"St Martin's Theatre, West St, London SW1E 5EA England",Ratings Not Available,"['Leicester Square', 'Covent Garden', 'Rental Cars']"
108,The Vaudeville Theatre,Suggested Duration Not Available,"404 Strand, London WC2R 0NH England",Ratings Not Available,"['Covent Garden', 'Embankment', 'Rental Cars']"
109,Above The Stag Theatre,Suggested Duration:2-3 hours,"72 Albert Embankment, London SE1 7TP England",5,"['Waterloo', 'Embankment', 'Rental Cars']"
110,The Arts Theatre,Suggested Duration Not Available,"6-7 Great Newport Street, London WC2H 7JB England",Ratings Not Available,"['Leicester Square', 'Covent Garden', 'Rental Cars']"
111,BFI Southbank,Suggested Duration Not Available,"Belvedere Road South Bank Waterloo, London SE1 8XT England",Ratings Not Available,"['Temple', 'Waterloo', 'Rental Cars']"
112,Park Theatre,Suggested Duration:2-3 hours,"11 Clifton Terrace Finsbury Park, London N4 3JP England",4.5,"['Finsbury Park', 'Arsenal', 'Rental Cars']"
113,Trafalgar Studios,Suggested Duration Not Available,"14 Whitehall, London SW1A 2DY England",4.5,"['Charing Cross', 'Embankment', 'Rental Cars']"
114,Everybody's Talking About Jamie,Suggested Duration Not Available,"31 Shaftesbury Avenue, London W1D 7EZ England",Ratings Not Available,"['Piccadilly Circus', 'Leicester Square', 'Rental Cars']"
115,New Wimbledon Theatre,Suggested Duration:2-3 hours,"93 The Broadway, London SW19 1QG England",4,"['Morden', 'Putney Bridge', 'Rental Cars']"
116,Hippodrome Casino,Suggested Duration:1-2 hours,"Cranbourn Street Leicester Square, London WC2H 7JH England",4,"['Leicester Square', 'Covent Garden', 'Rental Cars']"
117,La Soiree,Suggested Duration Not Available,Address Not Available,Ratings Not Available,[]
118,Hackney Empire,Suggested Duration Not Available,"St., E 8 291 Mare Street, London E8 1EJ England",4.5,"['Hackney Central', 'Hackney Downs', 'Rental Cars']"
119,9 to 5 the Musical,Suggested Duration Not Available,"Savoy Theatre Savoy Ct, London WC2R 0ET England",Ratings Not Available,"['Embankment', 'Covent Garden', 'Rental Cars']"
120,The Covent Garden Comedy Club,Suggested Duration:2-3 hours,"Villiers Street Nearest Tube Station - Embankment or Charing Cross Station, London WC2N 6NG England",4.5,"['Embankment', 'Charing Cross', 'Rental Cars']"
121,The Other Palace,Suggested Duration Not Available,"12 Palace Street, London SW1E 5JA England",Ratings Not Available,"['Hyde Park Corner', 'Green Park', 'Rental Cars']"
122,St James Theatre,Suggested Duration Not Available,"12 Palace Street, London SW1E 5JA England",4.5,"['Hyde Park Corner', 'Green Park', 'Rental Cars']"
