,Title,Suggested Duration,Address,Ratings,Transport
0,Churchill War Rooms,Suggested Duration:1-2 hours,"King Charles Street, Clive Steps Westminster, London SW1A 2AQ England",4.5,"['Charing Cross', 'Embankment', 'Rental Cars']"
1,Tower Bridge,Suggested Duration:1-2 hours,"Tower Bridge Road, London SE1 2UP England",4.5,"['Gallions Reach', 'Tower Hill', 'Rental Cars']"
2,Tower of London,Suggested Duration:2-3 hours,"St Katharine's & Wapping, London EC3N 4AB England",4.5,"['Tower Hill', 'Tower Gateway', 'Rental Cars']"
3,Houses of Parliament,Suggested Duration:1-2 hours,"Parliament Square, London SW1A 0AA England",4.5,"['Waterloo', 'Embankment', 'Rental Cars']"
4,Westminster Abbey,Suggested Duration:1-2 hours,"20 Dean's Yard Broad Sanctuary, London SW1P 3PA England",4.5,"['Charing Cross', 'Embankment', 'Rental Cars']"
5,St. Paul's Cathedral,Suggested Duration:1-2 hours,"St Paul's Churchyard, London EC4M 8AD England",4.5,"[""St. Paul's"", 'Blackfriars', 'Rental Cars']"
6,Sky Garden,Suggested Duration:< 1 hour,"20 Fenchurch Street 1 Sky Garden Walk, London EC3M 8AF England",4.5,"['Monument', 'Bank', 'Rental Cars']"
7,Covent Garden,Suggested Duration:2-3 hours,"Covent Garden, London WC2E 9DD England",4.5,"['Covent Garden', 'Leicester Square', 'Rental Cars']"
8,The View from The Shard,Suggested Duration:1-2 hours,"Joiner Street, London SE1 9QU England",4.5,"['London Bridge', 'Monument', 'Rental Cars']"
9,Buckingham Palace,Suggested Duration:2-3 hours,"Spur Road, London SW1A 1AA England",4.5,"['Green Park', 'Hyde Park Corner', 'Rental Cars']"
10,London Eye,Suggested Duration:1-2 hours,"Westminster Bridge Road Riverside Building, County Hall, London SE1 7PB England",4.5,"['Waterloo', 'Embankment', 'Rental Cars']"
11,Tottenham Experience,Suggested Duration:1-2 hours,"Lilywhite House 782 High Road Tottenham Hotspur Stadium, London N17 0BX England",5,"['Tottenham Hale', 'Seven Sisters', 'Rental Cars']"
12,Up at The O2,Suggested Duration:2-3 hours,"The O2, London SE10 0DX England",4.5,"['North Greenwich', 'East India', 'Rental Cars']"
13,Harrods,Suggested Duration:2-3 hours,"87-135 Brompton Road, London SW1X 7XL England",4,"['Knightsbridge', 'Hyde Park Corner', 'Rental Cars']"
14,Highgate Cemetery,Suggested Duration:2-3 hours,"Swains Lane Highgate, London N6 6PJ England",4.5,"['Archway', 'Highgate', 'Rental Cars']"
15,Tottenham Hotspur Stadium,Suggested Duration Not Available,"782 High Rd,, London England",Ratings Not Available,"['Tottenham Hale', 'Seven Sisters', 'Rental Cars']"
16,Old Royal Naval College,Suggested Duration:1-2 hours,"College Way, London SE10 9NN England",4.5,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
17,Wallace Collection,Suggested Duration Not Available,"Hertford House Manchester Square Manchester Square, London W1U 3BN England",4.5,"['Bond St', 'Marble Arch', 'Rental Cars']"
18,Emirates Stadium Tour and Museum,Suggested Duration:1-2 hours,"75 Drayton Park Emirates Stadium, London N5 1BU England",4.5,"['Arsenal', 'Holloway Road', 'Rental Cars']"
19,BAPS Shri Swaminarayan Mandir,Suggested Duration:1-2 hours,"105-119 Brentfield Road Neasden, London NW10 8LD England",4.5,"['Neasden', 'Stonebridge Park', 'Rental Cars']"
20,The All England Lawn Tennis Club,Suggested Duration Not Available,"Church Road Wimbledon, London SW19 5AE England",Ratings Not Available,"['Morden', 'Putney Bridge', 'Rental Cars']"
21,St. Dunstan in the East,Suggested Duration Not Available,"St. Dunstan's Hill, London England",Ratings Not Available,"['Monument', 'Tower Hill', 'Rental Cars']"
22,Chelsea FC Stadium Tour & Museum,Suggested Duration:1-2 hours,"Stamford Bridge Fulham Road Stamford Bridge Stadium, London SW6 1HS England",4.5,"['Fulham Broadway', 'West Brompton', 'Rental Cars']"
23,Royal Albert Hall,Suggested Duration:More than 3 hours,"Royal Albert Hall Kensington Gore, London SW7 2AP England",4.5,"['Gloucester Road', 'High St Kensington', 'Rental Cars']"
24,Hampstead,Suggested Duration Not Available,London England,4.5,"['Hampstead', 'South Hampstead', 'Rental Cars']"
25,Bomber Command Memorial,Suggested Duration Not Available,"Hyde Park Green Park, London W2 2UH England",4.5,"['Hyde Park Corner', 'Green Park', 'Rental Cars']"
26,Gods Own Junkyard,Suggested Duration Not Available,"Unit 12 Ravenswood Industrial Estate Shernhall Street, London E17 9HQ England",Ratings Not Available,"['Walthamstow Central', 'Leyton Midland Road', 'Rental Cars']"
27,Greenwich,Suggested Duration:More than 3 hours,London SE10 England,4.5,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
28,Westminster,Suggested Duration Not Available,"Victoria Street at Parliament Square, London SW1P 3PA England",Ratings Not Available,"['Embankment', 'Charing Cross', 'Rental Cars']"
29,Royal Hospital Chelsea,Suggested Duration:1-2 hours,"Royal Hospital Road, London SW3 4SR England",4.5,"['Knightsbridge', 'Hyde Park Corner', 'Rental Cars']"
30,Holland Park,Suggested Duration Not Available,"Kensington-Chelsea, London England",4.5,"['Holland Park', 'Kensington,Olympia', 'Rental Cars']"
31,Primrose Hill,Suggested Duration Not Available,"Primrose Hill Road, London NW3 England",Ratings Not Available,"['Chalk Farm', ""St. John's Wood"", 'Rental Cars']"
