,Title,Suggested Duration,Address,Ratings,Transport
0,Churchill War Rooms,Suggested Duration:1-2 hours,"King Charles Street, Clive Steps Westminster, London SW1A 2AQ England",4.5,"['Charing Cross', 'Embankment', 'Rental Cars']"
1,Tower of London,Suggested Duration:2-3 hours,"St Katharine's & Wapping, London EC3N 4AB England",4.5,"['Tower Hill', 'Tower Gateway', 'Rental Cars']"
2,Houses of Parliament,Suggested Duration:1-2 hours,"Parliament Square, London SW1A 0AA England",4.5,"['Waterloo', 'Embankment', 'Rental Cars']"
3,Westminster Abbey,Suggested Duration:1-2 hours,"20 Dean's Yard Broad Sanctuary, London SW1P 3PA England",4.5,"['Charing Cross', 'Embankment', 'Rental Cars']"
4,Buckingham Palace,Suggested Duration:2-3 hours,"Spur Road, London SW1A 1AA England",4.5,"['Green Park', 'Hyde Park Corner', 'Rental Cars']"
5,Old Royal Naval College,Suggested Duration:1-2 hours,"College Way, London SE10 9NN England",4.5,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
6,Wallace Collection,Suggested Duration Not Available,"Hertford House Manchester Square Manchester Square, London W1U 3BN England",4.5,"['Bond St', 'Marble Arch', 'Rental Cars']"
7,Hampstead,Suggested Duration Not Available,London England,4.5,"['Hampstead', 'South Hampstead', 'Rental Cars']"
8,HMS Belfast,Suggested Duration Not Available,"The Queen's Walk, London SE1 2JH England",4.5,"['London Bridge', 'Tower Hill', 'Rental Cars']"
9,Postman's Park,Suggested Duration Not Available,"King Edward Street, EC1, London England",Ratings Not Available,"[""St. Paul's"", 'Barbican', 'Rental Cars']"
10,Old Operating Theatre,Suggested Duration:1-2 hours,"St. Thomas's Church 9A St. Thomas Street, London SE1 9RY England",4.5,"['London Bridge', 'Monument', 'Rental Cars']"
11,Church of St. Bartholomew the Great,Suggested Duration Not Available,"West Smithfield, London EC1A 9DS England",Ratings Not Available,"['Barbican', 'Farringdon', 'Rental Cars']"
12,Shakespeare's Globe Theatre,Suggested Duration Not Available,"21 New Globe Walk, London SE1 9DT England",4.5,"['Mansion House', 'Cannon St', 'Rental Cars']"
13,Guildhall,Suggested Duration Not Available,"Gresham Street, London EC2 7HH England",Ratings Not Available,"['Moorgate', 'Bank', 'Rental Cars']"
