,Title,Suggested Duration,Address,Ratings,Transport
0,Fourpure Brewing Co.,Suggested Duration:2-3 hours,"Rotherhithe New Road Bermondsey Trading Estate, London SE16 3LL England",5,"['Wapping', 'Beckton Park', 'Rental Cars']"
1,Howling Hops,Suggested Duration:2-3 hours,"Unit 9A, Queens Yard White Post Lane, London E9 5EN England",4.5,"['Hackney Wick', 'West Ham', 'Rental Cars']"
2,The Old Truman Brewery,Suggested Duration Not Available,"91 Brick Lane, London E1 6QL England",Ratings Not Available,"['Shoreditch High St', 'Liverpool St', 'Rental Cars']"
3,Southwark Brewing Company,Suggested Duration:1-2 hours,"46 Druid Street, London SE1 2EZ England",4.5,"['London Bridge', 'Gallions Reach', 'Rental Cars']"
4,Camden Brewery Bar,Suggested Duration Not Available,"55-59 Wilkin Street Mews, London NW5 3NN England",Ratings Not Available,"['Kentish Town West', 'Chalk Farm', 'Rental Cars']"
5,London Beer Lab,Suggested Duration Not Available,"Arch 41 Nursery Road, London SW9 8BP England",4.5,"['Waterloo', 'Southwark', 'Rental Cars']"
6,Beavertown Brewery,Suggested Duration Not Available,"Unit 18 Lockwood Industrial Park Mill Mead Road Tottenham Hale, London N17 9QP England",Ratings Not Available,"['Tottenham Hale', 'Blackhorse Road', 'Rental Cars']"
7,The Wild Card Brewery,Suggested Duration Not Available,"Shernhall St Unit 7, Ravenswood Industrial Estate, London E17 9HQ England",4.5,"['Walthamstow Central', 'Leyton Midland Road', 'Rental Cars']"
8,Essex Street Brewery,Suggested Duration:1-2 hours,"46 Essex Street Temple Brew House, London WC2R 3JF England",4.5,"['Temple', 'Chancery Lane', 'Rental Cars']"
9,German Kraft Brewery,Suggested Duration Not Available,"42 Newington Causeway, London SE1 6DR England",5,"['Southwark', 'Waterloo', 'Rental Cars']"
10,Brixton Brewery,Suggested Duration Not Available,"Brixton Station Road, London SW9 8PF England",Ratings Not Available,"['Waterloo', 'Southwark', 'Rental Cars']"
11,Bianca Road Brew,Suggested Duration Not Available,"Railway Arch 83 Enid Street, London SE16 3RA England",Ratings Not Available,"['London Bridge', 'Gallions Reach', 'Rental Cars']"
12,Brew by Numbers,Suggested Duration Not Available,"Railway Arch 75 Enid Street, London SE16 3RA England",Ratings Not Available,"['London Bridge', 'Gallions Reach', 'Rental Cars']"
13,The Gipsy Hill Brewing Co - Taproom,Suggested Duration Not Available,"160 Hamilton Road Unit 5, Hamilton Road Industrial Estate, London SE27 9SF England",Ratings Not Available,"['Morden', 'Rental Cars']"
14,Hiver Beers Ltd,Suggested Duration:1-2 hours,"Arch 56 Stanworth Street Bermondsey, London SE1 3NY England",4.5,"['Waterloo', 'Southwark', 'Rental Cars']"
15,Brick Brewery,Suggested Duration Not Available,"Railway Arch 209 Blenheim Grove, London SE15 4QL England",Ratings Not Available,"['Wapping', 'London Bridge', 'Rental Cars']"
16,The Kernel Brewery,Suggested Duration Not Available,Address Not Available,Ratings Not Available,[]
17,Brockley Brewery Company,Suggested Duration:2-3 hours,"31 Harcourt Road, London SE4 2AJ England",5,"['Wapping', 'Canary Wharf', 'Rental Cars']"
18,Sambrook's Brewery,Suggested Duration Not Available,"1,2 & 3 Yelverton Road Battersea, London SW11 3QG England",4.5,"['Fulham Broadway', 'Parsons Green', 'Rental Cars']"
19,The Redchurch Brewery,Suggested Duration:< 1 hour,"15-16 Mead Park Industrial Estate, London CM20 2SE England",5,"['Cambridge Heath', 'Bethnal Green', 'Rental Cars']"
20,Pressure Drop Brewing,Suggested Duration Not Available,"Unit 6 Lockwood Industrial Park Mill Mead Road Unit 6, Lockwood Industrial Park, London N17 9QP England",Ratings Not Available,"['Tottenham Hale', 'Blackhorse Road', 'Rental Cars']"
21,The Barrel Project,Suggested Duration:1-2 hours,"80 Druid Street, London SE1 2HQ England",4,"['London Bridge', 'Gallions Reach', 'Rental Cars']"
22,Pilango Cider,Suggested Duration:1-2 hours,"Arch 10 Munster Road, London SW6 4RY England",5,"['Parsons Green', 'Putney Bridge', 'Rental Cars']"
23,The Aeronaut,Suggested Duration Not Available,"264 High Street next to Acton police station, London W3 9BH England",4,"['Acton Town', 'Acton Central', 'Rental Cars']"
24,Moncada Brewery,Suggested Duration:2-3 hours,"37 Humber Road, London NW2 6EN England",5,"['Brent Cross', 'Dollis Hill', 'Rental Cars']"
25,Moor Beer,Suggested Duration:1-2 hours,"Railway Arch 71 Enid Street Bermondsey, London SE16 3RA England",4,"['London Bridge', 'Gallions Reach', 'Rental Cars']"
26,Husk Brewery Taproom,Suggested Duration Not Available,"58A North Woolwich Road Railway Arches, London E16 2AA England",Ratings Not Available,"['Royal Victoria', 'Pontoon Dock', 'Rental Cars']"
27,London Fields Brewery,Suggested Duration Not Available,"365 - 366 Warburton Street, London E8 3RR England",4.5,"['London Fields', 'Cambridge Heath', 'Rental Cars']"
28,St John At Hackney Brewery,Suggested Duration Not Available,"16 Bohemia Pl, London E8 1DU England",Ratings Not Available,"['Hackney Central', 'Hackney Downs', 'Rental Cars']"
29,Signature Brew Taproom,Suggested Duration:1-2 hours,"Acton Mews Railway Arch 340, London E8 4EA England",5,"['Haggerston', 'Hoxton', 'Rental Cars']"
