,Title,Suggested Duration,Address,Ratings,Transport
0,St. James's Park,Suggested Duration:1-2 hours,"Horse Guards Road The Storeyard, London SW1A 2BJ England",4.5,"['Charing Cross', 'Embankment', 'Rental Cars']"
1,Hyde Park,Suggested Duration:2-3 hours,London W2 2UH England,4.5,"['Marble Arch', 'Knightsbridge', 'Rental Cars']"
2,Regent's Park,Suggested Duration:1-2 hours,"Chester Road Regent's Park, London NW1 4NR England",4.5,"[""Regent's Park"", 'Great Portland St', 'Rental Cars']"
3,Hampstead Heath,Suggested Duration Not Available,"Hampstead Lane Jcn of East Heath Road, London NW3 7JP England",Ratings Not Available,"['Golders Green', 'Hampstead Heath', 'Rental Cars']"
4,Kensington Gardens,Suggested Duration:< 1 hour,"The Magazine Storeyard Magazine Gate, London W2 UH England",4.5,"['Lancaster Gate', 'Queensway', 'Rental Cars']"
5,Garden at 120,Suggested Duration Not Available,"120 Fenchurch Street, London EC3M 5AL England",Ratings Not Available,"['Monument', 'Tower Hill', 'Rental Cars']"
6,Chelsea Physic Garden,Suggested Duration Not Available,"66 Royal Hospital Road, London SW3 4HS England",Ratings Not Available,"['Gloucester Road', 'Knightsbridge', 'Rental Cars']"
7,Greenwich Park,Suggested Duration Not Available,"Greenwich Park, London SE10 8QY England",Ratings Not Available,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
8,Queen Mary's Gardens,Suggested Duration Not Available,"Inner Circle Regent's Park, London England",4.5,"[""Regent's Park"", 'Great Portland St', 'Rental Cars']"
9,Holland Park,Suggested Duration Not Available,"Kensington-Chelsea, London England",4.5,"['Holland Park', 'Kensington,Olympia', 'Rental Cars']"
10,Primrose Hill,Suggested Duration Not Available,"Primrose Hill Road, London NW3 England",Ratings Not Available,"['Chalk Farm', ""St. John's Wood"", 'Rental Cars']"
11,Battersea Park,Suggested Duration Not Available,"Albert Park Bridge Road, London SW11 4NJ England",Ratings Not Available,"['Fulham Broadway', 'Parsons Green', 'Rental Cars']"
12,Kyoto Garden,Suggested Duration Not Available,"Holland Park, London England",Ratings Not Available,"['Holland Park', ""Shepherd's Bush"", 'Rental Cars']"
13,St. Katharine Docks,Suggested Duration:1-2 hours,"50 St. Katharines Way St Katherine's & Wapping, London E1W 1LA England",4.5,"['Gallions Reach', 'Tower Hill', 'Rental Cars']"
14,Diana Princess of Wales Memorial Playground,Suggested Duration:2-3 hours,"next to her Kensington Palace home, London W2 3XA England",4.5,"['Notting Hill Gate', 'Holland Park', 'Rental Cars']"
15,Victoria Park,Suggested Duration Not Available,"Old Ford Road Bow, London E3 5TG England",Ratings Not Available,"['Mile End', 'Bow Road', 'Rental Cars']"
16,Thames River,Suggested Duration Not Available,London England,Ratings Not Available,"['Waterloo', 'Embankment', 'Rental Cars']"
17,Regent's Canal,Suggested Duration Not Available,"42 Blomfield Road, London W9 2PF England",Ratings Not Available,"['Warwick Ave', 'Royal Oak', 'Rental Cars']"
18,WWT London Wetland Centre,Suggested Duration:More than 3 hours,"London Wetland Centre Queen Elizabeth Walk Barnes, London SW13 9WT England",4.5,"['Ravenscourt Park', 'Putney Bridge', 'Rental Cars']"
19,Italian Gardens,Suggested Duration Not Available,"Kensington Gardens, London W2 3XA England",Ratings Not Available,"['Lancaster Gate', 'Paddington', 'Rental Cars']"
20,Crossrail Place Roof Garden,Suggested Duration Not Available,"Crossrail Place Canary Wharf, London E14 5AR England",Ratings Not Available,"['Canary Wharf', 'Poplar', 'Rental Cars']"
21,Green Park,Suggested Duration Not Available,"Piccadilly, London W1J 9EJ England",Ratings Not Available,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
22,Victoria Embankment Gardens,Suggested Duration Not Available,"58 Victoria Embankment Temple Place, London EC4Y 0DS England",Ratings Not Available,"['Blackfriars', 'Temple', 'Rental Cars']"
23,Crystal Palace Park,Suggested Duration Not Available,"Thicket Road, London SE20 8DT England",Ratings Not Available,[]
24,Hill Garden & Pergola,Suggested Duration Not Available,"Inverforth Close, North End Way Hampstead Heath, London NW3 7HE England",Ratings Not Available,"['Hampstead', 'South Hampstead', 'Rental Cars']"
25,The Victoria Tower Gardens,Suggested Duration Not Available,"Millbank, London SW1P 3SF England",Ratings Not Available,"['Waterloo', 'Embankment', 'Rental Cars']"
26,Queen Elizabeth Olympic Park,Suggested Duration Not Available,"Olympic Stadium O Olympic Stadium Stratford Station, London E20 2ST England",4,"['Hackney Wick', 'West Ham', 'Rental Cars']"
27,Serpentine Boating Lake,Suggested Duration Not Available,"The Old Police House Hyde Park Hyde Park, Serpentine Road, London W2 2UH England",Ratings Not Available,"['Lancaster Gate', 'Paddington', 'Rental Cars']"
28,Wimbledon and Putney Commons,Suggested Duration Not Available,"Wimbledon, London SW19 5NR England",4.5,"['Putney Bridge', 'Parsons Green', 'Rental Cars']"
29,Alexandra Palace,Suggested Duration Not Available,"Alexandra Palace Wood Green, London N22 7AY England",4,"['Wood Green', 'Bounds Green', 'Rental Cars']"
