,Title,Suggested Duration,Address,Ratings,Transport
0,Houses of Parliament,Suggested Duration:1-2 hours,"Parliament Square, London SW1A 0AA England",4.5,"['Waterloo', 'Embankment', 'Rental Cars']"
1,Westminster Abbey,Suggested Duration:1-2 hours,"20 Dean's Yard Broad Sanctuary, London SW1P 3PA England",4.5,"['Charing Cross', 'Embankment', 'Rental Cars']"
2,The View from The Shard,Suggested Duration:1-2 hours,"Joiner Street, London SE1 9QU England",4.5,"['London Bridge', 'Monument', 'Rental Cars']"
3,Old Royal Naval College,Suggested Duration:1-2 hours,"College Way, London SE10 9NN England",4.5,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
4,Freemasons' Hall,Suggested Duration:1-2 hours,"Freemasons Hall 60 Great Queen Street Covent Garden, London WC2B 5AZ England",4.5,"['Holborn', 'Covent Garden', 'Rental Cars']"
5,Church of St. Bartholomew the Great,Suggested Duration Not Available,"West Smithfield, London EC1A 9DS England",Ratings Not Available,"['Barbican', 'Farringdon', 'Rental Cars']"
6,St Martin-in-the-Fields,Suggested Duration:1-2 hours,"Trafalgar Square, London WC2N 4JJ England",4.5,"['Charing Cross', 'Leicester Square', 'Rental Cars']"
7,Shakespeare's Globe Theatre,Suggested Duration Not Available,"21 New Globe Walk, London SE1 9DT England",4.5,"['Mansion House', 'Cannon St', 'Rental Cars']"
8,The UK Supreme Court,Suggested Duration Not Available,"Parliament Square, London SW1P 3BD England",Ratings Not Available,"['Charing Cross', 'Embankment', 'Rental Cars']"
9,Guildhall,Suggested Duration Not Available,"Gresham Street, London EC2 7HH England",Ratings Not Available,"['Moorgate', 'Bank', 'Rental Cars']"
10,Royal Courts of Justice,Suggested Duration:1-2 hours,"Strand, London WC2A 2LL England",4.5,"['Temple', 'Chancery Lane', 'Rental Cars']"
11,Banqueting House,Suggested Duration:1-2 hours,"Whitehall Palace Whitehall Horse Guards Avenue, London SW1A 2ER England",4.5,"['Charing Cross', 'Embankment', 'Rental Cars']"
12,Spencer House,Suggested Duration:< 1 hour,"27 St. James's Place, London SW1A 1NR England",4.5,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
13,Somerset House,Suggested Duration:1-2 hours,"The Strand, London WC2R 1LA England",4.5,"['Temple', 'Covent Garden', 'Rental Cars']"
14,Queen's House,Suggested Duration:< 1 hour,"Romney Road Greenwich, London SE10 9NF England",4.5,"['North Greenwich', 'Canary Wharf', 'Rental Cars']"
15,Clarence House,Suggested Duration Not Available,"St. James's Palace, London SW1A 2WH England",4.5,"['Green Park', 'Piccadilly Circus', 'Rental Cars']"
16,St. Pancras International Station,Suggested Duration:1-2 hours,"St. Pancras Station Euston Road, London N1C 4QP England",4.5,"[""King's Cross St. Pancras"", 'Euston', 'Rental Cars']"
17,30 St Mary Axe (The Gherkin),Suggested Duration Not Available,"30 St. Mary Axe, London EC3A 8EP England",Ratings Not Available,"['Aldgate', 'Liverpool St', 'Rental Cars']"
18,"County Hall, London",Suggested Duration Not Available,"Belvedere Road, London SE1 7PB England",4.5,"['Waterloo', 'Embankment', 'Rental Cars']"
19,The Shard,Suggested Duration Not Available,"The Shard 32 London Bridge Street, London SE1 9SG England",Ratings Not Available,"['London Bridge', 'Monument', 'Rental Cars']"
20,The London Oratory,Suggested Duration Not Available,"Brompton Road S. Kensington, London SW7 2RP England",Ratings Not Available,"['Knightsbridge', 'Gloucester Road', 'Rental Cars']"
21,City Hall,Suggested Duration Not Available,"City Hall 110 The Queens Walk, London SE1 2AA England",4,"['London Bridge', 'Tower Hill', 'Rental Cars']"
22,Alexandra Palace,Suggested Duration Not Available,"Alexandra Palace Wood Green, London N22 7AY England",4,"['Wood Green', 'Bounds Green', 'Rental Cars']"
23,St. Stephen Walbrook,Suggested Duration Not Available,"39 Walbrook, London EC4N 8BN England",4.5,"['Bank', 'Bank', 'Rental Cars']"
24,Middle Temple Hall,Suggested Duration Not Available,"Middle Temple Ln., London England",Ratings Not Available,"['Temple', 'Blackfriars', 'Rental Cars']"
25,Lloyds of London,Suggested Duration Not Available,"London, Greater London Ec3m 7ha 1 Lime Street Jcn, of LEADENHALL STREET, London EC3M 7HA England",Ratings Not Available,"['Monument', 'Aldgate', 'Rental Cars']"
26,The Crystal,Suggested Duration Not Available,"The Crystal 1 Siemens Brothers Way Royal Victoria Docks, London E16 1GB England",Ratings Not Available,"['Royal Victoria', 'Canning Town', 'Rental Cars']"
